regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2022-2024,p00180,Kamppi - Ruoholahti (Helsinki),Helsinki,91,Kokonaislukema (med.),94.17981999551763,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00190,Suomenlinna (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),56.06284163002966,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00190,Suomenlinna (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),64.34220589187706,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00190,Suomenlinna (Helsinki),Helsinki,91,Työttömät (med.),111.0996227441464,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00190,Suomenlinna (Helsinki),Helsinki,91,Kokonaislukema (med.),77.1682234220177,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00200,Pohjois-Lauttasaari (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),42.44217543855751,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00200,Pohjois-Lauttasaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),61.86143556102491,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00200,Pohjois-Lauttasaari (Helsinki),Helsinki,91,Työttömät (med.),77.67107777275466,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00200,Pohjois-Lauttasaari (Helsinki),Helsinki,91,Kokonaislukema (med.),60.65822959077902,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00210,Vattuniemi (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),47.82601175159274,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00210,Vattuniemi (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),52.99719753612028,90,Helsingin kaupunki
